"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.066994584E-1,1.094392363E0,-6.159413114E-1,-2.212064831E0,2.543680240E0
6.167334584E-1,1.654120882E0,6.196955162E-1,-2.656503507E0,3.190164464E0
6.267674583E-1,1.793187551E0,1.840426622E0,-2.417574581E0,3.528081433E0
6.368014584E-1,1.395048883E0,1.689668445E0,-1.485298026E-1,2.196178942E0
6.468344583E-1,1.286743685E0,9.624750853E-1,1.365801988E0,2.108905562E0
6.568684584E-1,9.865084572E-1,6.537868300E-1,2.331119989E0,2.614336734E0
6.669024584E-1,2.030685371E-1,-2.541553679E-1,3.192500224E0,3.209032481E0
6.769364583E-1,-2.155980970E-1,-9.835408491E-1,3.412334483E0,3.557788887E0
6.869694584E-1,-2.670852428E-1,-9.255496261E-1,3.483607364E0,3.614345985E0
6.970034583E-1,-2.851752124E-1,-8.136254400E-1,3.313416551E0,3.423746559E0
7.070374584E-1,-4.592077191E-1,-7.733980581E-1,2.621428984E0,2.771444786E0
7.170714583E-1,-4.314842425E-1,-5.889564112E-1,1.653155215E0,1.807199621E0
7.271054583E-1,-4.683597811E-1,-4.171704778E-1,6.458635604E-1,9.002954131E-1
7.371384584E-1,-5.128288794E-1,-5.342486921E-1,-4.649314123E-1,8.744005619E-1
7.471724583E-1,-3.038255645E-1,-4.079397708E-1,-1.559555326E0,1.640407767E0
7.572064584E-1,-1.823601843E-1,1.829272181E-2,-2.552205552E0,2.558777646E0
7.672404583E-1,-4.408041926E-1,4.525227436E-1,-2.930097651E0,2.997425131E0
7.772734584E-1,-3.766238379E-1,7.081732446E-1,-2.470253901E0,2.597211812E0
7.873074583E-1,1.996210188E-2,8.304794544E-1,-1.498292293E0,1.713176700E0
7.973414583E-1,1.100951770E-1,8.128097534E-1,-2.230198216E-1,8.500108729E-1
8.073754584E-1,2.339880288E-2,6.471037549E-1,6.713118124E-1,9.327112753E-1
8.174094583E-1,-5.863573238E-2,6.102379373E-1,1.080548496E0,1.242341958E0
8.274424584E-1,-3.569217910E-1,6.155176806E-1,1.102748619E0,1.312367973E0
8.374764583E-1,-8.310827409E-1,5.206922150E-1,8.319886208E-1,1.286088632E0
8.475104584E-1,-1.194679567E0,4.521429670E-1,3.329123926E-1,1.320046663E0
8.575444584E-1,-1.360180328E0,5.574524903E-1,-2.020715868E-1,1.483804816E0
8.675774583E-1,-1.331197873E0,8.444963998E-1,-5.317843831E-1,1.663747750E0
8.776114584E-1,-9.968143210E-1,1.216185772E0,-6.428709555E-1,1.698831860E0
8.876454583E-1,-6.633022964E-1,1.586154894E0,-3.285082698E-1,1.750364239E0
8.976794584E-1,-6.812378995E-1,1.707522626E0,1.847269911E-1,1.847658695E0
9.077134583E-1,-7.844715151E-1,1.644249028E0,3.446471697E-1,1.854112213E0
9.177464584E-1,-1.026496834E0,1.478349195E0,3.778482449E-1,1.839016419E0
9.277804584E-1,-1.329120942E0,1.326256683E0,6.044752139E-1,1.972538860E0
9.378143334E-1,-1.477817536E0,1.142723986E0,6.564978915E-1,1.980088953E0
9.478483333E-1,-1.359058394E0,9.602475885E-1,5.721319252E-1,1.759673290E0
9.578813334E-1,-1.154090096E0,8.984811106E-1,5.101011533E-1,1.548998206E0
9.679153333E-1,-9.724996980E-1,7.850954130E-1,2.689315742E-1,1.278457923E0
9.779493334E-1,-7.345573434E-1,7.911069354E-1,6.294820011E-2,1.081382056E0
9.879833334E-1,-6.512820290E-1,9.285039318E-1,-5.931006253E-2,1.135696049E0
9.980163334E-1,-4.317464170E-1,8.987845811E-1,1.252023357E-1,1.004934981E0
1.008050333E0,-2.122678153E-1,6.898302367E-1,5.547259337E-1,9.102989852E-1
1.018084333E0,-2.778246045E-2,4.184808388E-1,9.786180782E-1,1.064702503E0
1.028118333E0,4.506215215E-2,1.102583143E-1,1.245132998E0,1.250817204E0
1.038152333E0,8.703755915E-2,-1.507087675E-1,1.397762868E0,1.408555894E0
1.048185333E0,4.484770551E-2,-2.661889377E-1,1.330829791E0,1.357930705E0
1.058219333E0,5.465611741E-2,-2.448986408E-1,1.057483569E0,1.086845957E0
1.068253333E0,6.716360405E-2,-1.375873232E-1,7.237321007E-1,7.397495352E-1
1.078287333E0,-6.945922092E-2,-5.067752570E-2,4.884471595E-1,4.959570774E-1
1.088320333E0,-2.593617287E-1,-6.635332614E-2,4.861649913E-1,5.550024044E-1
1.098354333E0,-2.747156399E-1,-2.010787296E-1,7.574752128E-1,8.304637478E-1
1.108388333E0,-1.389370067E-1,-3.801441541E-1,1.289116339E0,1.351160244E0
1.118422333E0,1.054751457E-1,-5.169739705E-1,1.676603719E0,1.757665248E0
1.128456333E0,2.664150788E-1,-5.639510858E-1,1.671555233E0,1.784128560E0
1.138489333E0,2.784056716E-1,-4.791179270E-1,1.186743287E0,1.309741706E0
1.148523333E0,2.635347404E-1,-3.450845414E-1,5.280678928E-1,6.836589790E-1
1.158557333E0,2.847659804E-1,-1.389199036E-1,-1.598330551E-1,3.548760470E-1
1.168591333E0,2.896719405E-1,1.748644924E-1,-7.755711758E-1,8.461666931E-1
1.178624333E0,9.365923852E-2,3.599510872E-1,-1.218682534E0,1.274175795E0
1.188658333E0,2.674794182E-2,4.106236428E-1,-1.301778485E0,1.365267172E0
1.198692333E0,3.233904943E-2,4.587555832E-1,-1.013903686E0,1.113329773E0
1.208726333E0,-2.830797896E-2,3.506949449E-1,-6.690501094E-1,7.559208523E-1
1.218759333E0,1.316161466E-1,2.133584672E-1,-2.480342102E-1,3.526550935E-1
1.228793333E0,3.971197906E-1,1.496249861E-1,2.059898061E-1,4.717240345E-1
1.238827333E0,4.569144411E-1,-4.262035489E-2,4.807680112E-1,6.646240906E-1
1.248861333E0,3.944517061E-1,-2.038725293E-1,4.495924115E-1,6.318935774E-1
1.258895333E0,2.586489531E-1,-2.515752840E-1,2.693601751E-1,4.502713720E-1
1.268928333E0,2.523643658E-2,-2.920865482E-1,-6.138114631E-2,2.995314249E-1
1.278962333E0,-1.899178568E-1,-2.357737684E-1,-4.704032367E-1,5.594079614E-1
1.288996333E0,-3.300912572E-1,-1.354349631E-1,-6.895434308E-1,7.763845763E-1
1.299030333E0,-3.930919361E-1,-1.459055722E-1,-6.989533550E-1,8.150739222E-1
1.309063333E0,-5.373341216E-1,-2.850622880E-1,-5.919861460E-1,8.487850513E-1
1.319097333E0,-5.877941309E-1,-3.461510736E-1,-3.002977931E-1,7.453195762E-1
1.329131333E0,-5.485094664E-1,-4.012096256E-1,1.945006120E-1,7.068679413E-1
1.339165333E0,-4.399887984E-1,-4.638818371E-1,4.955924571E-1,8.089427575E-1
1.349199333E0,-3.601091082E-1,-4.026527184E-1,5.787597442E-1,7.916884633E-1
1.359232333E0,-2.413597597E-1,-3.176458973E-1,4.445029950E-1,5.972741098E-1
1.369266333E0,-1.533153100E-1,-2.448539096E-1,1.987638170E-1,3.506651911E-1
1.379300333E0,-3.058546945E-2,-1.102141678E-1,-1.395028710E-2,1.152269250E-1
