"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.046725833E-1,-1.442306080E0,-3.574308203E0,-1.885014272E0,4.290594920E0
6.146625833E-1,-9.498415911E-1,-4.020032097E0,-1.261176589E0,4.318960928E0
6.246515833E-1,2.117510676E-2,-3.692357348E0,-4.131315136E-1,3.715458090E0
6.346415834E-1,8.521615148E-2,-3.113183913E0,-9.841045207E-1,3.266134960E0
6.446305834E-1,-8.262434390E-1,-3.318780494E0,-2.245284033E-1,3.427447329E0
6.546205833E-1,-1.569033077E0,-2.376383578E0,1.349708111E0,3.151313328E0
6.646095833E-1,-1.595494359E0,-1.107624612E0,6.520773965E-1,2.048814160E0
6.745995833E-1,-1.125763845E0,-8.252625686E-1,3.702620673E-1,1.444124835E0
6.845895834E-1,-6.046406901E-1,-9.755053130E-1,1.192823807E0,1.655303481E0
6.945785834E-1,-2.593283996E-1,-8.206760126E-1,1.681583208E0,1.889042726E0
7.045685833E-1,2.292532459E-1,-7.265375948E-1,2.198280020E0,2.326553024E0
7.145575833E-1,4.637996837E-1,-7.774852619E-1,2.406142690E0,2.570820126E0
7.245475833E-1,8.972143114E-2,-7.015223292E-1,2.456197779E0,2.555991206E0
7.345365834E-1,-3.453464967E-1,-4.881460279E-1,2.335244030E0,2.410584043E0
7.445265834E-1,-4.084338605E-1,-3.038733655E-1,2.048445704E0,2.110755088E0
7.545155833E-1,-2.527271855E-1,-4.161498463E-1,1.964750413E0,2.024177836E0
7.645055833E-1,-5.153145307E-1,-3.069946092E-1,1.706032171E0,1.808408284E0
7.744945834E-1,-9.393891084E-1,2.926850107E-1,1.661182857E0,1.930710982E0
7.844845834E-1,-1.105873371E0,8.810758500E-1,1.775733905E0,2.269907810E0
7.944735833E-1,-7.485289729E-1,1.079632383E0,1.779603592E0,2.211987941E0
8.044635833E-1,-4.938897479E-1,1.091591839E0,2.176273440E0,2.484283782E0
8.144525833E-1,-4.570212990E-1,1.290877667E0,2.548360423E0,2.892987118E0
8.244425834E-1,-9.903277123E-1,1.373126210E0,3.077235816E0,3.512207971E0
8.344325834E-1,-1.571239817E0,1.308967782E0,2.968566483E0,3.604799326E0
8.444215833E-1,-1.595967692E0,1.553581225E0,2.381691973E0,3.260856352E0
8.544115833E-1,-1.102474970E0,1.765033354E0,1.710759060E0,2.693972969E0
8.644005833E-1,-2.795290679E-1,1.784407957E0,7.680434704E-1,1.962686686E0
8.743905834E-1,3.926487172E-1,1.879215296E0,-1.917822415E-1,1.929353149E0
8.843795834E-1,6.797154307E-1,1.841257950E0,-6.210029536E-1,2.058613264E0
8.943695833E-1,6.609154630E-1,1.758830189E0,-2.769574624E-1,1.899209920E0
9.043585833E-1,5.342226720E-1,1.594031240E0,3.626033843E-1,1.719828675E0
9.143485833E-1,1.637495202E-1,1.072211609E0,1.143570955E0,1.576136469E0
9.243375834E-1,-3.427444857E-1,6.479027769E-1,1.937483093E0,2.071495239E0
9.343275834E-1,-1.043325706E0,9.030137991E-1,2.004811442E0,2.433768963E0
9.443165833E-1,-1.846850665E0,7.149590115E-1,1.750638825E0,2.643248014E0
9.543065833E-1,-1.896366642E0,5.152391016E-1,1.553342074E0,2.504905062E0
9.642955834E-1,-1.167470865E0,-2.549060773E-1,1.117140371E0,1.635838604E0
9.742855834E-1,-2.119662452E-1,4.346989685E-1,5.259927160E-1,7.145356671E-1
9.842755834E-1,8.426013172E-1,1.674931123E0,-2.584878623E-2,1.875110505E0
9.942645833E-1,6.523375976E-1,1.476457182E0,-6.072830468E-1,1.724605129E0
1.004254583E0,8.044271851E-1,1.098340550E0,-8.627701181E-1,1.611777694E0
1.014243583E0,1.781882837E0,7.670293439E-1,-5.056625319E-1,2.004778056E0
1.024233583E0,2.744689459E0,3.821296493E-1,3.050305295E-1,2.787900092E0
1.034222583E0,2.891307222E0,1.356594962E-1,9.416572434E-1,3.043810000E0
1.044212583E0,2.782435575E0,2.503725117E-1,1.229257223E0,3.052164387E0
1.054201583E0,2.572687764E0,3.209495741E-1,2.390548750E0,3.526535734E0
1.064191583E0,2.488584337E0,1.243052997E-1,2.626418413E0,3.620300746E0
1.074180583E0,2.980798858E0,2.998703617E-1,2.967676536E0,4.216893180E0
1.084170583E0,3.785760478E0,5.886880971E-1,3.516896147E0,5.200682127E0
1.094159583E0,4.604998661E0,6.635860325E-1,3.663603957E0,5.921853852E0
1.104149583E0,6.317424762E0,9.013722664E-1,4.502186483E0,7.809738197E0
1.114138583E0,7.960951366E0,7.849784687E-1,4.874688619E0,9.367792002E0
1.124128583E0,8.703564711E0,8.932195667E-2,5.247274954E0,1.016336123E1
1.134118583E0,8.278788468E0,5.151951744E-1,5.248920946E0,9.816054994E0
1.144107583E0,6.975181559E0,1.026164493E0,5.028169844E0,8.659599490E0
1.154097583E0,5.603091475E0,1.132663998E0,4.366293098E0,7.193196594E0
1.164086583E0,4.513000324E0,1.241663845E0,3.311143738E0,5.733460899E0
1.174076583E0,3.259800214E0,9.244232330E-1,2.316601937E0,4.104570658E0
1.184065583E0,1.886134599E0,5.053099447E-1,1.257282343E0,2.322412701E0
1.194055583E0,4.410291642E-1,3.608378906E-1,-9.476056159E-2,5.776593036E-1
1.204044583E0,-9.417408586E-1,1.034138560E-1,-1.410332043E0,1.699001690E0
1.214034583E0,-2.441751648E0,-2.438684345E-1,-2.283819523E0,3.352231277E0
1.224023792E0,-3.837993656E0,2.880586937E-2,-2.460558048E0,4.559097607E0
1.234013792E0,-5.069966326E0,4.766751795E-1,-2.457398213E0,5.654253598E0
1.244002792E0,-5.899910760E0,5.737232450E-1,-2.351106357E0,6.376974709E0
1.253992792E0,-6.409970398E0,4.345696720E-1,-2.342907976E0,6.838551680E0
1.263982792E0,-6.606599396E0,3.190506177E-1,-2.255703771E0,6.988358061E0
1.273971792E0,-6.852772438E0,2.232543681E-1,-2.068646665E0,7.161677989E0
1.283961792E0,-7.158253203E0,6.089209981E-2,-1.685470437E0,7.354257771E0
1.293950792E0,-7.870394953E0,-2.253553092E-1,-7.240729934E-1,7.906844088E0
1.303940792E0,-9.055313909E0,-7.238135963E-1,7.156699598E-1,9.112343255E0
1.313929792E0,-1.021383093E1,-8.811819039E-1,2.488997735E0,1.054959400E1
1.323919792E0,-1.111517806E1,-8.776821260E-1,4.356075089E0,1.197050121E1
1.333908792E0,-1.142389935E1,-1.150711429E0,4.891286233E0,1.248015601E1
1.343898792E0,-1.062336056E1,-1.971293448E0,4.280865862E0,1.162185872E1
1.353887792E0,-1.041298242E1,-9.326811826E-1,2.761410742E0,1.081320888E1
1.363877792E0,-9.187089685E0,1.182402168E0,9.476760748E-1,9.311218057E0
1.373866792E0,-8.253115683E0,1.691981604E0,1.034208727E0,8.488009655E0
1.383856792E0,-7.494202639E0,2.676644826E0,8.762426877E-1,8.005954158E0
1.393845792E0,-6.587370243E0,2.916012878E0,8.186838663E-1,7.250298000E0
1.403835792E0,-6.127934044E0,3.138566969E0,7.983681540E-1,6.931058359E0
1.413825792E0,-5.789475567E0,3.409394503E0,9.029749882E-1,6.779185943E0
1.423814792E0,-5.357520112E0,3.534567310E0,9.520030144E-1,6.488643738E0
1.433804792E0,-4.601682120E0,3.685595920E0,9.838184457E-1,5.977206233E0
