"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.113096667E-1,8.309542483E-1,1.492590673E0,6.134939593E-1,1.815127191E0
6.212976667E-1,-1.407353764E0,-1.257032667E0,-7.882689893E-2,1.888647511E0
6.312856667E-1,-4.547755589E0,-7.484990936E0,-1.106154476E0,8.827839369E0
6.412736667E-1,-3.427424392E-1,-3.646561663E0,-2.586258566E-1,3.671753215E0
6.512616667E-1,1.491313056E0,-7.627166569E-1,1.483035153E0,2.237218048E0
6.612496667E-1,9.872225484E-1,6.785956889E-1,2.193732056E0,2.499512113E0
6.712376667E-1,1.546529922E0,4.295052962E0,2.835740255E-1,4.573800277E0
6.812256667E-1,-5.314734574E-1,1.157665084E0,-1.297888917E0,1.818562103E0
6.912136667E-1,-3.127628290E0,-4.727863280E0,5.897226888E-1,5.699344064E0
7.012016667E-1,-4.345486366E0,-7.078817609E0,1.085857329E0,8.376872724E0
7.111896667E-1,-4.778622959E0,-1.037609935E1,-2.013833696E-1,1.142537660E1
7.211776667E-1,-3.443311862E0,-1.255037714E1,-1.233984697E0,1.307253155E1
7.311666667E-1,-4.510691258E-1,-8.194544123E0,-1.694604519E0,8.380077638E0
7.411546667E-1,-3.780891502E-1,1.916351255E0,-7.898806281E-1,2.106956323E0
7.511426667E-1,-4.167562026E-1,5.111002670E0,8.480222708E-1,5.197612509E0
7.611306667E-1,-1.034138853E0,3.648754368E0,1.828190446E-2,3.792517084E0
7.711186667E-1,-1.558984199E0,7.252196324E-1,-5.276330061E-1,1.798547146E0
7.811066667E-1,-8.738331963E-1,3.784434915E-2,-5.012731732E-1,1.008112813E0
7.910946667E-1,-2.716816659E-1,2.253014052E-1,-4.005056208E-1,5.338318116E-1
8.010826667E-1,-2.428781354E-1,8.592834234E-2,-7.419546559E-2,2.681015401E-1
8.110706667E-1,-2.844955467E-1,-2.618967891E-1,1.742556511E-1,4.241375675E-1
8.210586667E-1,-1.706599058E-1,-5.187287199E-1,7.895553768E-2,5.517592458E-1
8.310466667E-1,1.714342234E-1,-3.851005465E-1,2.822158635E-2,4.224790903E-1
8.410346667E-1,4.443036050E-1,-7.541446388E-2,-6.141155183E-2,4.548234970E-1
8.510226667E-1,6.165748572E-1,2.881449401E-2,-1.080122526E-1,6.266270632E-1
